,,住所,電話番号,営業日,特徴
,店舗/観光地名,,,,
,八幡八雲神社,〒192-0063 東京都八王子市元横山町２丁目１５−２７,426230720,9:00~17:00,
,子安神社,,426424262,,
,福傳寺,〒192-0046 東京都八王子市明神町４丁目１０−６,426424262,,https://www.fukudenji.org/
,八王子城跡,東京都八王子市元八王子町3丁目、西寺方町、下恩方町,,,https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/005/bunkazaikanrenshisetsu/p005201.html
,今熊山,,,,https://www.city.hachioji.tokyo.jp/kankobunka/002/002/p003390.html
,陳馬山,,,,https://www.city.hachioji.tokyo.jp/kankobunka/002/002/p003386.html
,高月町の田園風景,,,,https://www.city.hachioji.tokyo.jp/kankobunka/002/003/p003409.html
,志乃ざき,〒192-0066 東京都八王子市本町２−１,426243131,"11:30~14:00,17:00~20:00, 定休日:水曜日,木曜日",http://www.unagi-shinozaki.jp/
,甲州街道イチョウ並木,,,,https://www.city.hachioji.tokyo.jp/kankobunka/002/003/p003400.html
,夕やけ小やけふれあいの里,,,,https://yuyakekoyake.jp/
,高尾梅郷,,,,https://www.city.hachioji.tokyo.jp/kankobunka/001/p003240.html
,三井アウトレットパーク 多摩南大沢,,,,https://mitsui-shopping-park.com/mop/tama/
,高尾山薬王院,,,,https://www.takaosan.or.jp/
,ボンシュシュ,,,,https://bonshushu.com/
,88+茶楼,,,,https://88sarou.storeinfo.jp/
,麺笑巧真,,,,https://lit.link/menshowtakuma
,CAFE Ocappa,,,,https://www.cafe-ocappa.com/
,烹酌処 玉がき,,,,http://www.tama-gaki.com/
,菓子店manna,,,,https://manna.tokyo/
,八王子市夢美術館,,,,https://www.yumebi.com/index.html
,Lit Chicken Burger,,,,https://www.litchickenburger.com/
,Restaurant Dix-neuf,,,,https://dix-neuf.studio.site/
,AINA CAFE アイナカフェ,,,,http://ainacafe.com/
,韓国酒場マショマショ&マショチキン 八王子店,,,,https://masyomasyo-masyochiken-hachioji.owst.jp/
,TUBO CAFE,,,,https://www.tubocafe.com/
,あじこや離れ 八王子店,,,,https://ajikoya.jp/menu/
,麺笑巧真,,,,https://lit.link/menshowtakuma
,CAFE Ocappa,,,,http://www.cafe-ocappa.com/
,伝説のすた丼屋 八王子店,,,,https://shop.sutadonya.com/store/store2058
,シフォンカフェ ボン・ムー,,,,https://bon-mu.com/caffe/
,鰻の成瀬 八王子店,,,,https://www.unagi-naruse.com/
,横浜家系ラーメン 八王子大和家,,,,http://iekei-yamatoya.com/shop/#hatiouji_y
,,,,,
,肉の山本,,,,
,INDRA,カレー屋,,,
,お好み焼 やまと,,,,
,Boule Beurre Boulangerie,,https://www.facebook.com/people/Boule-Beurre-Boulangerie/100063517092523/,,
,からみそラーメンふくろう,ラーメン屋,,,
,煮干鰮らーめん,,,,
,八王子食堂 日々,,https://www.instagram.com/taberukoto_hibinokoto/?hl=ja,,
,￥500バーグ食堂,,,,
,firenze bar ADOMANI,,https://www.instagram.com/adomani.hachioji/,,
,リストランテチベッタ,,https://www.hotpepper.jp/strJ000017814/,,
,Akameru,,https://www.instagram.com/akamerucake_official/,,
,カキノキテラス,,https://tabelog.com/tokyo/A1329/A132904/13184834/?cid=google_yoyaku,,
,ブラッセリー貘(バク) 八王子店,,https://www.instagram.com/brasserie_baku/,,
,TACOSUAVE,,https://www.instagram.com/tacosuave_taqueria_abefusai/,,
,ちとせ,,,,
,中華そば 鴨福,,https://x.com/noodle_lucky,,
,藍華,,https://x.com/ramenaika,,
,むさし家,,,,
,Kuta Bali Cafe,,https://www.instagram.com/kutabali_cafe,,
,まるに家,,https://twitter.com/maruniya4,,
,firenze bar ADOMANI,,https://instagram.com/adomani.hachioji?igshid=OGQ5ZDc2ODk2ZA==,,
,らーめん 尾又家,,https://twitter.com/802omataya,,